id;estado;cidade;bairro;endereco;preco;avaliacao;desconto;descricao;modalidade;link;financiamento;FGTS;imagem;pdf
id;estado;cidade;bairro;endereco;preco;avaliacao;desconto;descricao;modalidade;link;financiamento;FGTS;https://venda-imoveis.caixa.gov.br/fotos/Fid21.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/id.pdf
8787715256959;PB;JOAO PESSOA;MUCUMAGRO;RUA CARAMBOLAS, N. 255, Apto 307, 2 ANDAR BL I;81.964,82;140.000,00;41.46;Apartamento, 0.00 de �rea total, 49.40 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715256959;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F878771525695921.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8787715256959.pdf
8787715268507;PB;JOAO PESSOA;MUCUMAGRO;RUA CARAMBOLAS, N. 255, Apto 305, BL I;82.550,28;141.000,00;41.46;Apartamento, 0.00 de �rea total, 50.10 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715268507;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F878771526850721.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8787715268507.pdf
8444422623963;PB;JOAO PESSOA;CUIA;RUA ENGENHEIRO FRANKLIN PEREIRA DA SILVA, N. 266, Apto 301, .;85.477,60;146.000,00;41.46;Apartamento, 0.00 de �rea total, 49.08 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422623963;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442262396321.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422623963.pdf
8444414173300;PB;JOAO PESSOA;JOAO PAULO II;RUA MIRTES TOSCANO ALVES, N. 21, Apto 101, .;83.721,21;143.000,00;41.46;Apartamento, 0.00 de �rea total, 46.74 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414173300;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441417330021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444414173300.pdf
8444415669295;PB;JOAO PESSOA;JOAO PAULO II;RUA CARMELITA PEREIRA DE ALMEIDA, N. 132, Apto 102, .;88.404,91;151.000,00;41.46;Apartamento, 0.00 de �rea total, 51.74 de �rea privativa, 0.00 de �rea do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415669295;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441566929521.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444415669295.pdf
8444422297985;PB;JOAO PESSOA;JOAO PAULO II;RUA ONEZIO FERNANDES MAIA, N. 91, Apto 201, 1 ANDAR;90.161,30;154.000,00;41.46;Apartamento, 0.00 de �rea total, 48.43 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422297985;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442229798521.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422297985.pdf
8444402542720;PB;JOAO PESSOA;GRAMAME;RUA MARIA DO CARMO MAIA DE ALBUQUERQUE, N. 41, Apto 204, 1� ANDAR;86.063,06;147.000,00;41.46;Apartamento, 0.00 de �rea total, 54.54 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licita��o Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402542720;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844440254272021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444402542720.pdf
8444407391135;PB;JOAO PESSOA;GRAMAME;RUA NOVA JERUSALEM, N. 58, Apto 202, .;81.964,82;140.000,00;41.46;Apartamento, 0.00 de �rea total, 45.76 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407391135;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844440739113521.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444407391135.pdf
8444408619121;PB;JOAO PESSOA;GRAMAME;RUA RISALVA OLIVEIRA DA SILVA, N. 29, Apto 101, BL B;89.575,84;153.000,00;41.46;Apartamento, 0.00 de �rea total, 57.14 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408619121;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844440861912121.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444408619121.pdf
8444409323021;PB;JOAO PESSOA;GRAMAME;RUA ANTONIO PEREIRA DA PAIXAO, N. 77, Apto 101, .;83.135,75;142.000,00;41.46;Apartamento, 0.00 de �rea total, 50.82 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licita��o Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409323021;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844440932302121.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444409323021.pdf
